"dt","beer","pizza"
2015-01-14 00:00:00,6711,15498
2015-01-14 01:00:00,7361,22209
2015-01-14 02:00:00,6333,23265
2015-01-14 03:00:00,5710,18340
2015-01-14 04:00:00,4996,14194
2015-01-14 05:00:00,3687,10206
2015-01-14 06:00:00,5087,8404
2015-01-14 07:00:00,3231,7233
2015-01-14 08:00:00,2066,6255
2015-01-14 09:00:00,1922,5674
2015-01-14 10:00:00,3524,5540
2015-01-14 11:00:00,2926,6404
2015-01-14 12:00:00,3194,8712
2015-01-14 13:00:00,3729,7919
2015-01-14 14:00:00,3782,8246
2015-01-14 15:00:00,4845,9796
2015-01-14 16:00:00,5177,18395
2015-01-14 17:00:00,5435,14298
2015-01-14 18:00:00,5418,15883
2015-01-14 19:00:00,5497,13554
2015-01-14 20:00:00,5445,14241
2015-01-14 21:00:00,6379,13606
2015-01-14 22:00:00,6291,13488
2015-01-14 23:00:00,7815,15865
2015-01-15 00:00:00,8877,16813
2015-01-15 01:00:00,7664,15651
2015-01-15 02:00:00,6851,13797
2015-01-15 03:00:00,7263,22550
2015-01-15 04:00:00,5842,15870
2015-01-15 05:00:00,4716,10845
2015-01-15 06:00:00,3053,8009
2015-01-15 07:00:00,2623,9369
2015-01-15 08:00:00,2133,5194
2015-01-15 09:00:00,1921,4207
2015-01-15 10:00:00,2239,4856
2015-01-15 11:00:00,2674,5713
2015-01-15 12:00:00,2640,7140
2015-01-15 13:00:00,3439,8921
2015-01-15 14:00:00,3711,9889
2015-01-15 15:00:00,3865,10188
2015-01-15 16:00:00,4567,11454
2015-01-15 17:00:00,5041,12462
2015-01-15 18:00:00,5860,15337
2015-01-15 19:00:00,6032,13694
2015-01-15 20:00:00,6626,14599
2015-01-15 21:00:00,6396,14444
2015-01-15 22:00:00,6528,15648
2015-01-15 23:00:00,6949,12536
2015-01-16 00:00:00,7170,15119
2015-01-16 01:00:00,7991,15592
2015-01-16 02:00:00,8878,15258
2015-01-16 03:00:00,7037,14201
2015-01-16 04:00:00,5520,11613
2015-01-16 05:00:00,4830,10366
2015-01-16 06:00:00,4817,9174
2015-01-16 07:00:00,3245,6604
2015-01-16 08:00:00,2513,5800
2015-01-16 09:00:00,2488,4687
2015-01-16 10:00:00,2406,5755
2015-01-16 11:00:00,3173,6867
2015-01-16 12:00:00,4083,9107
2015-01-16 13:00:00,4575,10665
2015-01-16 14:00:00,4382,9757
2015-01-16 15:00:00,4769,10589
2015-01-16 16:00:00,32448,14488
2015-01-16 17:00:00,10834,16458
2015-01-16 18:00:00,9319,15518
2015-01-16 19:00:00,8534,14966
2015-01-16 20:00:00,9308,16951
2015-01-16 21:00:00,9962,14631
2015-01-16 22:00:00,9902,17332
2015-01-16 23:00:00,10983,26587
2015-01-17 00:00:00,12272,20268
2015-01-17 01:00:00,11321,18009
2015-01-17 02:00:00,10979,16681
2015-01-17 03:00:00,10404,15979
2015-01-17 04:00:00,7414,13236
2015-01-17 05:00:00,6476,12250
2015-01-17 06:00:00,4784,10205
2015-01-17 07:00:00,4372,7502
2015-01-17 08:00:00,3457,5669
2015-01-17 09:00:00,3543,7076
2015-01-17 10:00:00,2809,6402
2015-01-17 11:00:00,3167,5924
2015-01-17 12:00:00,3320,7242
2015-01-17 13:00:00,3598,10866
2015-01-17 14:00:00,4709,9547
2015-01-17 15:00:00,4992,9936
2015-01-17 16:00:00,6220,11258
2015-01-17 17:00:00,7031,15945
2015-01-17 18:00:00,7697,14820
2015-01-17 19:00:00,8242,19308
2015-01-17 20:00:00,8612,13516
2015-01-17 21:00:00,9544,15764
2015-01-17 22:00:00,8743,17499
2015-01-17 23:00:00,8965,17198
2015-01-18 00:00:00,9335,17311
2015-01-18 01:00:00,9683,24055
2015-01-18 02:00:00,9316,19601
2015-01-18 03:00:00,8605,20758
2015-01-18 04:00:00,8030,15654
2015-01-18 05:00:00,6023,12555
2015-01-18 06:00:00,4654,11055
2015-01-18 07:00:00,3685,8530
2015-01-18 08:00:00,3751,6674
2015-01-18 09:00:00,3442,6350
2015-01-18 10:00:00,3586,6297
2015-01-18 11:00:00,3419,6293
2015-01-18 12:00:00,3337,7921
2015-01-18 13:00:00,5088,11574
2015-01-18 14:00:00,4434,9753
2015-01-18 15:00:00,4439,14332
2015-01-18 16:00:00,5311,12539
2015-01-18 17:00:00,6946,16694
2015-01-18 18:00:00,8038,18378
2015-01-18 19:00:00,8369,17871
2015-01-18 20:00:00,9486,17976
2015-01-18 21:00:00,11562,18763
2015-01-18 22:00:00,14347,16392
2015-01-18 23:00:00,10947,17850
2015-01-19 00:00:00,8749,21524
2015-01-19 01:00:00,9531,24022
2015-01-19 02:00:00,8405,18645
2015-01-19 03:00:00,6780,14870
2015-01-19 04:00:00,5706,13285
2015-01-19 05:00:00,4549,11746
2015-01-19 06:00:00,3596,9723
2015-01-19 07:00:00,3250,6992
2015-01-19 08:00:00,2511,5325
2015-01-19 09:00:00,2269,4781
2015-01-19 10:00:00,2445,5249
2015-01-19 11:00:00,4999,6298
2015-01-19 12:00:00,3701,6779
2015-01-19 13:00:00,4866,9842
2015-01-19 14:00:00,4227,8965
2015-01-19 15:00:00,4955,11807
2015-01-19 16:00:00,5903,12484
2015-01-19 17:00:00,5650,12815
2015-01-19 18:00:00,6247,13233
2015-01-19 19:00:00,7408,17026
2015-01-19 20:00:00,6394,14977
2015-01-19 21:00:00,7204,15588
2015-01-19 22:00:00,7684,15440
2015-01-19 23:00:00,6627,18044
2015-01-20 00:00:00,6262,16780
2015-01-20 01:00:00,7501,18137
2015-01-20 02:00:00,7201,21891
2015-01-20 03:00:00,5951,20023
2015-01-20 04:00:00,4671,14232
2015-01-20 05:00:00,3761,12119
2015-01-20 06:00:00,3517,11234
2015-01-20 07:00:00,2713,10157
2015-01-20 08:00:00,3395,7931
2015-01-20 09:00:00,3923,5218
2015-01-20 10:00:00,4019,5714
2015-01-20 11:00:00,3392,5658
2015-01-20 12:00:00,3356,6733
2015-01-20 13:00:00,5308,8339
2015-01-20 14:00:00,5891,9542
2015-01-20 15:00:00,7506,11418
2015-01-20 16:00:00,5875,11774
2015-01-20 17:00:00,5234,15496
2015-01-20 18:00:00,5851,14623
2015-01-20 19:00:00,6731,12717
2015-01-20 20:00:00,6806,15142
2015-01-20 21:00:00,7192,14292
2015-01-20 22:00:00,8978,21211
2015-01-20 23:00:00,6653,18414
2015-01-21 00:00:00,7173,17070
2015-01-21 01:00:00,8953,16387
2015-01-21 02:00:00,7866,17092
2015-01-21 03:00:00,7142,13665
2015-01-21 04:00:00,6042,11877
2015-01-21 05:00:00,5964,12050
2015-01-21 06:00:00,3449,8537
2015-01-21 07:00:00,2753,5812
2015-01-21 08:00:00,2781,6944
2015-01-21 09:00:00,3444,4573
2015-01-21 10:00:00,3683,4907
2015-01-21 11:00:00,4569,6089
2015-01-21 12:00:00,5330,6610
2015-01-21 13:00:00,9358,10106
2015-01-21 14:00:00,6471,8802
2015-01-21 15:00:00,5180,9580
2015-01-21 16:00:00,5522,11709
2015-01-21 17:00:00,6756,15018
2015-01-21 18:00:00,5968,12480
2015-01-21 19:00:00,5365,16922
2015-01-21 20:00:00,7804,15768
2015-01-21 21:00:00,9678,15556
2015-01-21 22:00:00,9002,20829
2015-01-21 23:00:00,7427,19517
2015-01-22 00:00:00,7161,16537
2015-01-22 01:00:00,7166,20511
2015-01-22 02:00:00,7523,20357
2015-01-22 03:00:00,6212,15606
2015-01-22 04:00:00,4914,12967
2015-01-22 05:00:00,4562,12488
2015-01-22 06:00:00,3637,7928
2015-01-22 07:00:00,2935,6526
2015-01-22 08:00:00,2697,5302
2015-01-22 09:00:00,2762,4792
2015-01-22 10:00:00,2534,5930
2015-01-22 11:00:00,3309,6421
2015-01-22 12:00:00,3259,6867
2015-01-22 13:00:00,5331,8175
2015-01-22 14:00:00,5201,10133
2015-01-22 15:00:00,5405,10070
2015-01-22 16:00:00,6175,13405
2015-01-22 17:00:00,6033,17824
2015-01-22 18:00:00,6534,14618
2015-01-22 19:00:00,7419,16322
2015-01-22 20:00:00,7564,13913
2015-01-22 21:00:00,8164,16363
2015-01-22 22:00:00,7921,14742
2015-01-22 23:00:00,8063,24027
2015-01-23 00:00:00,8149,25201
2015-01-23 01:00:00,8347,15851
2015-01-23 02:00:00,8373,17542
2015-01-23 03:00:00,8247,14265
2015-01-23 04:00:00,6117,14496
2015-01-23 05:00:00,4587,9380
2015-01-23 06:00:00,3811,7121
2015-01-23 07:00:00,3326,5736
2015-01-23 08:00:00,2570,5278
2015-01-23 09:00:00,2943,5561
2015-01-23 10:00:00,2986,5116
2015-01-23 11:00:00,3333,7796
2015-01-23 12:00:00,3850,8742
2015-01-23 13:00:00,4276,11702
2015-01-23 14:00:00,4907,13499
2015-01-23 15:00:00,5199,11264
2015-01-23 16:00:00,8439,12694
2015-01-23 17:00:00,9293,13384
2015-01-23 18:00:00,10570,18748
2015-01-23 19:00:00,8767,16221
2015-01-23 20:00:00,9304,16516
2015-01-23 21:00:00,9355,15018
2015-01-23 22:00:00,10450,16813
2015-01-23 23:00:00,9474,25030
2015-01-24 00:00:00,9661,19031
2015-01-24 01:00:00,9993,19608
2015-01-24 02:00:00,11273,15561
2015-01-24 03:00:00,9529,14931
2015-01-24 04:00:00,7520,13479
2015-01-24 05:00:00,6419,16675
2015-01-24 06:00:00,4956,10428
2015-01-24 07:00:00,4192,7958
2015-01-24 08:00:00,3750,7432
2015-01-24 09:00:00,3135,6131
2015-01-24 10:00:00,3464,6142
2015-01-24 11:00:00,4224,8346
2015-01-24 12:00:00,4620,9343
2015-01-24 13:00:00,4941,9416
2015-01-24 14:00:00,6221,9625
2015-01-24 15:00:00,5960,10872
2015-01-24 16:00:00,7614,20932
2015-01-24 17:00:00,8454,16139
2015-01-24 18:00:00,9735,16506
2015-01-24 19:00:00,10113,16118
2015-01-24 20:00:00,11258,22147
2015-01-24 21:00:00,11840,16689
2015-01-24 22:00:00,11087,16189
2015-01-24 23:00:00,10942,16683
2015-01-25 00:00:00,9638,16576
2015-01-25 01:00:00,9718,22696
2015-01-25 02:00:00,9943,16968
2015-01-25 03:00:00,9348,15633
2015-01-25 04:00:00,7588,14142
2015-01-25 05:00:00,6786,12957
2015-01-25 06:00:00,5521,10365
2015-01-25 07:00:00,4901,10432
2015-01-25 08:00:00,5065,7132
2015-01-25 09:00:00,3833,7429
2015-01-25 10:00:00,3680,7339
2015-01-25 11:00:00,3120,7814
2015-01-25 12:00:00,3064,7955
2015-01-25 13:00:00,4801,9702
2015-01-25 14:00:00,4379,9658
2015-01-25 15:00:00,5661,10089
2015-01-25 16:00:00,6904,21908
2015-01-25 17:00:00,8907,13826
2015-01-25 18:00:00,9014,16404
2015-01-25 19:00:00,8714,15192
2015-01-25 20:00:00,11567,17478
2015-01-25 21:00:00,11026,16454
2015-01-25 22:00:00,7915,18645
2015-01-25 23:00:00,7086,26076
2015-01-26 00:00:00,6815,19210
2015-01-26 01:00:00,7880,22456
2015-01-26 02:00:00,7165,29684
2015-01-26 03:00:00,5823,19823
2015-01-26 04:00:00,36702,14655
2015-01-26 05:00:00,12494,15227
2015-01-26 06:00:00,11297,10116
2015-01-26 07:00:00,7353,6839
2015-01-26 08:00:00,5595,5748
2015-01-26 09:00:00,5584,5369
2015-01-26 10:00:00,5936,5145
2015-01-26 11:00:00,6216,7213
2015-01-26 12:00:00,6863,9828
2015-01-26 13:00:00,7339,13031
2015-01-26 14:00:00,7710,13522
2015-01-26 15:00:00,8535,14257
2015-01-26 16:00:00,8061,15929
2015-01-26 17:00:00,8148,16038
2015-01-26 18:00:00,8300,16638
2015-01-26 19:00:00,7671,15683
2015-01-26 20:00:00,8721,15915
2015-01-26 21:00:00,9546,19592
2015-01-26 22:00:00,8945,23265
2015-01-26 23:00:00,7526,20157
2015-01-27 00:00:00,7384,28394
2015-01-27 01:00:00,7498,21935
2015-01-27 02:00:00,8083,20267
2015-01-27 03:00:00,6913,19068
2015-01-27 04:00:00,6585,14313
2015-01-27 05:00:00,4784,11329
2015-01-27 06:00:00,4518,9668
2015-01-27 07:00:00,4289,6774
2015-01-27 08:00:00,4650,5000
2015-01-27 09:00:00,2702,4854
2015-01-27 10:00:00,3264,4918
2015-01-27 11:00:00,3399,6604
2015-01-27 12:00:00,3431,8287
2015-01-27 13:00:00,3986,8819
2015-01-27 14:00:00,5533,20279
2015-01-27 15:00:00,5969,13207
2015-01-27 16:00:00,5820,12808
2015-01-27 17:00:00,6203,12940
2015-01-27 18:00:00,6663,19634
2015-01-27 19:00:00,8142,16563
2015-01-27 20:00:00,6729,14362
2015-01-27 21:00:00,6880,16238
2015-01-27 22:00:00,6748,17719
2015-01-27 23:00:00,6770,20241
2015-01-28 00:00:00,7001,17050
2015-01-28 01:00:00,7489,16951
2015-01-28 02:00:00,6997,16662
2015-01-28 03:00:00,6305,23427
2015-01-28 04:00:00,5328,15799
2015-01-28 05:00:00,4833,10344
2015-01-28 06:00:00,3372,8381
2015-01-28 07:00:00,3483,5568
2015-01-28 08:00:00,2750,4976
2015-01-28 09:00:00,2106,4490
2015-01-28 10:00:00,2423,4967
2015-01-28 11:00:00,3441,7356
2015-01-28 12:00:00,3659,8861
2015-01-28 13:00:00,4158,8915
2015-01-28 14:00:00,4611,9661
2015-01-28 15:00:00,5222,10829
2015-01-28 16:00:00,6512,20540
2015-01-28 17:00:00,6708,13987
2015-01-28 18:00:00,6264,17613
2015-01-28 19:00:00,6862,14767
2015-01-28 20:00:00,9980,15735
2015-01-28 21:00:00,7600,17020
2015-01-28 22:00:00,9243,15671
2015-01-28 23:00:00,6941,15605
2015-01-29 00:00:00,7245,16091
2015-01-29 01:00:00,7452,16800
2015-01-29 02:00:00,8794,27632
2015-01-29 03:00:00,7592,19956
2015-01-29 04:00:00,5826,17703
2015-01-29 05:00:00,5523,12956
2015-01-29 06:00:00,4344,8986
2015-01-29 07:00:00,3386,5913
2015-01-29 08:00:00,3221,4434
2015-01-29 09:00:00,2341,4936
2015-01-29 10:00:00,3634,4652
